"","follower_count","following_count","account_language","tweet_client_name","is_retweet","reply_count","like_count","retweet_count","numcaracter","account_creation_year","account_creation_month","tweet_hour"
"1",94,89,1,1,1,0,0,0,91,2013,7,12
"2",1538,93,1,1,2,0,0,0,132,2013,6,6
"3",3051,271,1,2,2,0,0,0,59,2017,12,17
"4",4989,4418,1,3,1,0,1,1,85,2015,8,8
"5",8685,1451,1,4,2,0,0,0,142,2015,1,20
"6",8685,1451,1,4,1,0,0,0,113,2015,1,4
"7",3051,271,1,2,2,0,0,0,142,2017,12,4
"8",4989,4418,1,4,2,0,0,0,41,2015,8,3
"9",3051,271,1,2,1,1,0,0,125,2017,12,1
"10",8685,1451,1,4,2,0,0,0,54,2015,1,17
"11",8685,1451,1,4,2,0,0,0,142,2015,1,1
"12",19845,808,1,5,1,0,0,0,100,2015,11,16
"13",3051,271,1,2,2,0,0,0,141,2017,12,8
"14",4989,4418,1,4,2,0,0,0,53,2015,8,6
"15",3051,271,1,6,2,0,0,0,142,2017,12,1
"16",3051,271,1,2,1,0,1,1,38,2017,12,0
"17",4989,4418,1,4,2,0,0,0,39,2015,8,23
"18",8685,1451,1,4,2,0,0,0,148,2015,1,1
"19",19845,808,1,5,1,0,1,0,134,2015,11,15
"20",8685,1451,1,4,2,0,0,0,133,2015,1,2
"21",3051,271,1,2,2,0,0,0,142,2017,12,2
"22",3739,4633,1,4,2,0,0,0,142,2017,4,15
"23",8685,1451,1,4,1,0,0,0,140,2015,1,14
"24",3051,271,1,2,2,0,0,0,142,2017,12,0
"25",3051,271,1,2,2,0,0,0,128,2017,12,17
"26",8685,1451,1,4,2,0,0,0,142,2015,1,21
"27",8685,1451,1,4,2,0,0,0,142,2015,1,14
"28",111,103,1,1,1,0,0,0,48,2014,5,22
"29",3051,271,1,2,1,0,0,0,105,2017,12,2
"30",103,165,1,7,2,0,0,0,96,2015,3,14
"31",8685,1451,1,4,2,0,0,0,142,2015,1,2
"32",8685,1451,1,4,2,0,0,0,142,2015,1,0
"33",8685,1451,1,4,2,0,0,0,142,2015,1,23
"34",4989,4418,1,4,2,0,0,0,142,2015,8,6
"35",8685,1451,1,4,2,0,0,0,75,2015,1,1
"36",3051,271,1,6,2,0,0,0,141,2017,12,11
"37",8685,1451,1,4,2,0,0,0,142,2015,1,16
"38",8685,1451,1,4,2,0,0,0,64,2015,1,4
"39",8685,1451,1,4,2,0,0,0,97,2015,1,20
"40",3051,271,1,2,2,0,0,0,142,2017,12,2
"41",3020,2518,1,4,2,0,0,0,142,2017,6,21
"42",8685,1451,1,4,2,0,0,0,105,2015,1,3
"43",8685,1451,1,4,2,0,0,0,69,2015,1,3
"44",65,86,1,1,2,0,0,0,142,2015,3,2
"45",3051,271,1,2,2,0,0,0,146,2017,12,7
"46",8685,1451,1,4,2,0,0,0,56,2015,1,19
"47",7566,4526,1,4,2,0,0,0,111,2017,3,3
"48",3051,271,1,2,1,0,0,0,103,2017,12,16
"49",7566,4526,1,4,2,0,0,0,142,2017,3,10
"50",8685,1451,1,4,2,0,0,0,142,2015,1,18
"51",8685,1451,1,4,2,0,0,0,146,2015,1,20
"52",8685,1451,1,4,2,0,0,0,63,2015,1,4
"53",9,10,1,1,1,0,0,0,78,2015,3,2
"54",8685,1451,1,4,1,1,0,1,22,2015,1,5
"55",8685,1451,1,4,2,0,0,0,130,2015,1,2
"56",3051,271,1,1,1,0,0,0,91,2017,12,3
"57",3020,2518,1,4,2,0,0,0,148,2017,6,18
"58",4989,4418,1,4,2,0,0,0,175,2015,8,19
"59",8685,1451,1,4,2,0,0,0,104,2015,1,1
"60",3051,271,1,2,2,0,0,0,50,2017,12,3
"61",4989,4418,1,4,2,0,0,0,75,2015,8,6
"62",7566,4526,1,4,2,0,0,0,150,2017,3,23
"63",8685,1451,1,4,2,0,0,0,142,2015,1,3
"64",3051,271,1,2,1,0,0,0,205,2017,12,17
"65",111,103,1,1,2,0,0,0,137,2014,5,2
"66",4989,4418,1,4,2,0,0,0,40,2015,8,20
"67",2816,3129,2,8,1,2,44,52,236,2017,12,7
"68",3020,2518,1,4,2,0,0,0,38,2017,6,1
"69",8685,1451,1,4,2,0,0,0,146,2015,1,0
"70",8685,1451,1,4,1,1,1,0,107,2015,1,17
"71",8685,1451,1,4,2,0,0,0,148,2015,1,1
"72",4989,4418,1,4,2,0,0,0,115,2015,8,15
"73",3051,271,1,2,2,0,0,0,142,2017,12,2
"74",7566,4526,1,4,2,0,0,0,177,2017,3,3
"75",8685,1451,1,4,2,0,0,0,142,2015,1,5
"76",3051,271,1,1,2,0,0,0,142,2017,12,3
"77",8685,1451,1,4,2,0,0,0,123,2015,1,19
"78",3051,271,1,2,2,0,0,0,118,2017,12,17
"79",3051,271,1,2,2,0,0,0,145,2017,12,6
"80",8685,1451,1,4,2,0,0,0,141,2015,1,18
"81",8685,1451,1,4,2,0,0,0,146,2015,1,18
"82",3051,271,1,2,1,0,0,0,39,2017,12,2
"83",8685,1451,1,4,2,0,0,0,139,2015,1,1
"84",8685,1451,1,4,2,0,0,0,120,2015,1,19
"85",8685,1451,1,4,2,0,0,0,97,2015,1,5
"86",4989,4418,1,4,2,0,0,0,191,2015,8,22
"87",8685,1451,1,4,2,0,0,0,142,2015,1,8
"88",3051,271,1,2,1,0,0,0,201,2017,12,6
"89",3020,2518,1,4,2,0,0,0,176,2017,6,1
"90",7566,4526,1,4,2,0,0,0,108,2017,3,7
"91",1538,93,1,9,2,0,0,0,146,2013,6,18
"92",1538,93,1,1,1,0,0,2,116,2013,6,17
"93",8685,1451,1,4,1,0,0,0,118,2015,1,10
"94",3020,2518,1,4,2,0,0,0,133,2017,6,16
"95",1003,2837,1,1,1,0,0,0,106,2018,9,15
"96",8685,1451,1,4,2,0,0,0,84,2015,1,5
"97",7566,4526,1,4,2,0,0,0,142,2017,3,20
"98",57,50,1,1,1,0,0,0,69,2015,3,16
"99",8685,1451,1,4,2,0,0,0,142,2015,1,2
"100",3051,271,1,6,2,0,0,0,235,2017,12,6
"101",3051,271,1,6,2,0,0,0,142,2017,12,19
"102",8685,1451,1,4,2,0,0,0,82,2015,1,16
"103",8685,1451,1,4,2,0,0,0,44,2015,1,21
"104",8685,1451,1,4,2,0,0,0,142,2015,1,14
"105",8685,1451,1,4,1,0,0,0,103,2015,1,5
"106",8685,1451,1,4,2,0,0,0,144,2015,1,7
"107",8685,1451,1,4,2,0,0,0,75,2015,1,17
"108",8685,1451,1,4,2,0,0,0,87,2015,1,18
"109",8685,1451,1,4,2,0,0,0,142,2015,1,19
"110",3051,271,1,1,1,0,0,0,149,2017,12,7
"111",8685,1451,1,4,2,0,0,0,142,2015,1,4
"112",8685,1451,1,4,2,0,0,0,142,2015,1,7
"113",128,124,1,1,1,0,0,0,73,2014,5,22
